date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:55	18624/18624	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:55%20GMT	http://new.uouapps.com/globo-html/price-listing.html	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/price-listing.html	(from http://new.uouapps.com/globo-html/)
18:24:55	16948/16948	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:56%20GMT	http://new.uouapps.com/globo-html/about-us.html	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/about-us.html	(from http://new.uouapps.com/globo-html/)
18:24:55	16586/16586	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:56%20GMT	http://new.uouapps.com/globo-html/contact-us.html	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/contact-us.html	(from http://new.uouapps.com/globo-html/)
18:24:56	143450/143450	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:56%20GMT	http://new.uouapps.com/globo-html/search-result.html	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/search-result.html	(from http://new.uouapps.com/globo-html/)
18:24:56	13002/13002	---M--	200	added ('OK')	image/jpeg	etag:%2232ca-530bda7a9d6e5%22	http://new.uouapps.com/globo-html/img/content/post-img-1.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-1.jpg	(from http://new.uouapps.com/globo-html/)
18:24:56	16069/16069	---M--	200	added ('OK')	image/jpeg	etag:%223ec5-530bda7aa3c81%22	http://new.uouapps.com/globo-html/img/content/post-img-2.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-2.jpg	(from http://new.uouapps.com/globo-html/)
18:24:57	9895/9895	---M--	200	added ('OK')	image/jpeg	etag:%2226a7-530bda7aa53d2%22	http://new.uouapps.com/globo-html/img/content/post-img-3.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-3.jpg	(from http://new.uouapps.com/globo-html/)
18:24:58	8280/8280	---M--	200	added ('OK')	image/jpeg	etag:%222058-530bda7aa6b49%22	http://new.uouapps.com/globo-html/img/content/post-img-4.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-4.jpg	(from http://new.uouapps.com/globo-html/)
18:24:58	17252/17252	---M--	200	added ('OK')	image/jpeg	etag:%224364-530bda7aa82dd%22	http://new.uouapps.com/globo-html/img/content/post-img-5.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-5.jpg	(from http://new.uouapps.com/globo-html/)
18:24:59	15113/15113	---M--	200	added ('OK')	image/jpeg	etag:%223b09-530bda7aa9e1c%22	http://new.uouapps.com/globo-html/img/content/post-img-6.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-6.jpg	(from http://new.uouapps.com/globo-html/)
18:24:59	9218/9218	---M--	200	added ('OK')	image/jpeg	etag:%222402-530bda7aab59b%22	http://new.uouapps.com/globo-html/img/content/post-img-7.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-7.jpg	(from http://new.uouapps.com/globo-html/)
18:25:00	7620/7620	---M--	200	added ('OK')	image/jpeg	etag:%221dc4-530bda7aacd2c%22	http://new.uouapps.com/globo-html/img/content/post-img-8.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-8.jpg	(from http://new.uouapps.com/globo-html/)
